"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","Notes","Message"
"10/18/2018 21:22:40","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","206.47.202.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","RECEIVED<<< ISAKMP OAK IKE_SA_INIT (InitCookie:0x6eae3d3089c0125a RespCookie:0x0000000000000000, MsgID: 0x0)  (NOTIFY: Notify Cookie, SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:22:40","939","VPN","VPN IKEv2","Responder: Received IKE_SA_INIT Request","Standard Note String","Information","","","","","","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","206.47.202.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","","IKEv2 Responder: Received IKE_SA_INIT Request"
"10/18/2018 21:22:40","545","VPN","VPN IKE","Responder: Bound Scope Mismatch","Standard","Information","","","","","","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","206.47.202.130","500","","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKE Responder drop: VPN tunnel end point does not match configured VPN Policy Bound to scope "
"10/18/2018 21:22:40","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","206.47.202.130","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0x6eae3d3089c0125a RespCookie:0x0000000000000000, MsgID: 0x0)  (NOTIFY: No Proposal Chosen)"
"10/18/2018 21:22:40","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","D4:C9:EF:EF:BF:38","HEWLETT PACKARD","X0","LAN","33:33:00:00:00:FB","Unknown","","","fe80::2cb8:997b:4c2d:8dd4","5353","","","","","ff02::fb","5353","","","","","udp","","","78","","","","","","","","","","","","","","","drop","","Unhandled link-local or multicast IPv6 packet dropped"
"10/18/2018 21:22:43","175","Network","ICMP","LAN ICMP Deny","Standard ICMP Service","Notice","2048","00:0A:F7:8F:48:B0","BROADCOM","X0:V10","LAN","C0:EA:E4:6A:DC:90","SONICWALL","","","192.168.10.2","","","","","","192.168.10.254","","","","","","icmp","3","3","106","","","","","","","","","","","","","","","drop","","ICMP packet from LAN dropped"
"10/18/2018 21:22:44","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xaf60d10b0dabc608 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:22:44","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:22:44","46","Network","Network Access","Broadcast Packets Dropped","Standard Note Protocol","Debug","2048","00:0A:F7:8F:48:B0","BROADCOM","X0:V10","LAN","FF:FF:FF:FF:FF:FF","Unknown","","","192.168.10.2","5665","","","","","192.168.10.255","50799","","","","","udp","","","188","","","","","","","","","","","","","","","drop","","Broadcast packet dropped"
"10/18/2018 21:22:45","1177","Network","DNS","Malformed DNS Packet","Standard Note String","Alert","2048","BC:30:5B:D3:A0:54","DELL","X0","LAN","C0:EA:E4:6A:DC:90","SONICWALL","X1","WAN","192.168.1.87","58937","","","","","199.66.201.16","53","no-dns-yet.ccanet.co.uk","","","","udp","","","552","","","","","","","","","","","","","","General DNS","NA","","Malformed DNS packet detected"
"10/18/2018 21:22:49","1445","WAN Acceleration","Local WXA Appliance","Connection Exceed","Simple Message String","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","WXA Warning - The number of active connections has reached the licensed limit."
"10/18/2018 21:22:50","41","Network","Network Access","Unknown Protocol Dropped","Standard Note String","Notice","2048","D4:BE:D9:E4:5D:AC","DELL","X0","LAN","01:00:5E:00:00:16","Unknown","","MULTICAST","192.168.1.98","34","","","","","224.0.0.22","34","","","","","igmp","","","46","","","","","","","","","","","","","","","drop","","Unknown protocol dropped"
"10/18/2018 21:22:52","737","Log","E-mail","SMTP Authentication Failed","Standard Message String","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","SMTP authentication problem:Username and password don't match."
"10/18/2018 21:22:52","737","Log","E-mail","SMTP Authentication Failed","Standard Message String","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","SMTP authentication problem:smtp auth challenge failed"
"10/18/2018 21:22:52","12","Log","E-mail","E-mail Check Error on Load","Simple","Warning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","Problem sending log E-mail; check log settings"
"10/18/2018 21:22:54","14","Security Services","Content Filter","Website Blocked","Standard Note Blocked","Error","2048","00:1A:A0:54:E8:D5","DELL","X0","LAN","C0:EA:E4:6A:DC:90","SONICWALL","X1","WAN","192.168.1.35","64494","","","","","72.167.239.239","80","a1plpkivs-v03.any.prod.ash1.secureserver.net","","","","tcp","","","40","","","","","","","","","","ocsp.godaddy.com/","","","55","General HTTP","drop","Host: ocsp.godaddy.com
Command: POST
Policy: CFS Default Policy
Info: 6405
","Web site access denied"
"10/18/2018 21:22:54","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xaf60d10b0dabc608 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:22:54","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:22:57","602","Network","DNS","DNS Allow","Standard Policy","Information","2048","F4:CC:55:C9:CE:C3","JUNIPER NETWORKS","X1","WAN","C0:EA:E4:6A:DC:91","SONICWALL","X1","WAN","8.8.8.8","53","google-public-dns-a.google.com","","","","206.47.202.130","53836","","","","","udp","","","73","","","","","","","","","","","","","","General DNS","forward","","DNS packet allowed"
"10/18/2018 21:22:58","174","Network","UDP","LAN UDP Deny","Standard Service","Notice","2048","00:1A:A0:6F:98:E5","DELL","X0","LAN","C0:EA:E4:6A:DC:90","SONICWALL","X0","LAN","192.168.1.74","137","","","","","192.168.1.254","137","","","","","udp","","","203","","","","","","","","","","","","","","General NETBIOS","drop","packet did not match policy on Zones(LAN -> LAN)","UDP packet from LAN dropped"
"10/18/2018 21:23:00","1420","Network","DHCPv6 Server","DHCPv6 Server Get Message","Simple Message String","Debug","","","","X0","","","","","","fe80::4878:96e2:f4d2:8614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","","DHCPv6 Server received message (MSG_SOLICIT)"
"10/18/2018 21:23:01","37","Network","UDP","UDP Packets Dropped","Standard Policy","Notice","2048","00:0C:29:8D:D2:0E","VMWARE","X0:V10","LAN","01:00:5E:05:06:0A","Unknown","","","192.168.10.3","58278","","","","","234.5.6.10","6080","","","","","udp","","","128","","","","","","","","","","","","","","","drop","","UDP packet dropped"
"10/18/2018 21:23:04","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xaf60d10b0dabc608 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:23:04","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:23:05","36","Network","TCP","TCP Packets Dropped","Standard Policy","Notice","2048","00:21:70:60:DD:89","DELL","X0","LAN","C0:EA:E4:6A:DC:90","SONICWALL","X1","WAN","192.168.1.47","54950","","","","","8.28.3.193","8443","harmony-us2.8x8.com","","","","tcp","","","48","","10 (LAN->WAN)","","","","","","","","","","","","General TCP","drop","","TCP connection dropped"
"10/18/2018 21:23:07","598","Network","ICMP","LAN ICMP Allow","Standard ICMP Service","Information","2048","C0:EA:E4:6A:DC:90","SONICWALL","X0","LAN","00:00:00:00:00:00","XEROX CORPORATION","X0","LAN","192.168.1.254","","","","","","192.168.1.59","","","","","","icmp","0","0","","60","2 (LAN->LAN)","","","","","","","","","","","","Service Echo","forward","","ICMP packet from LAN allowed"
"10/18/2018 21:23:14","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xaf60d10b0dabc608 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:23:14","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:23:15","1431","Network","ICMP","ICMPv6 Packets Received","Standard Note Protocol","Information","34525","A6:46:5C:3C:4C:A8","Unknown","X0","","33:33:00:00:00:16","Unknown","","","fe80::e4ee:bf79:4ffc:e3a2","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","76","","","","","","","","","","","","","","","NA","ICMPv6","ICMPv6 packet received"
"10/18/2018 21:23:24","971","VPN","VPN IKEv2","Peer Not Responding","Standard Note String","Warning","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; Falied 5 retries; IKEv2 InitSPI: 0xaf60d10b0dabc608; IKEv2 RespSPI: 0x0000000000000000","IKEv2 Peer is not responding. Negotiation aborted."
"10/18/2018 21:23:24","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xb2b6f057d0c637c0 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:23:24","938","VPN","VPN IKEv2","Initiator: Send IKE_SA_INIT Request","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Send IKE_SA_INIT Request"
"10/18/2018 21:23:28","760","Network","TCP","TCP Handshake Violation Detected","Standard Note String","Notice","","","","X0:V10","LAN","F4:CC:55:C9:CE:C3","JUNIPER NETWORKS","X1","WAN","192.168.10.3","60984","","0.0.0.0","0","","173.199.0.254","443","","0.0.0.0","0","","tcp","","","","152","17 (LAN->WAN)","198","Unknown","","","","","","","","","","General HTTPS","drop","Handshake Timeout","TCP handshake violation detected; TCP connection dropped"
"10/18/2018 21:23:30","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xb2b6f057d0c637c0 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:23:30","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:23:31","483","VPN","VPN IPsec","Invalid ID","Standard Note String","Warning","","","","","","","","","","67.70.211.10","500","","","","","206.47.202.130","500","","","","","","","","","","","","","","","","","","","","","","","NA","","Received notify: INVALID_ID_INFO"
"10/18/2018 21:23:31","346","VPN","VPN IKE","Quick Mode Started","Standard Note String","Information","","","","","","","","","","67.70.211.10","500","","","","","206.47.202.130","500","","","","","","","","","","","","","","","","","","","","","","","NA","VPN Policy: TorontoToQC100","IKE Initiator: Start Quick Mode (Phase 2)."
"10/18/2018 21:23:31","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","206.47.202.130","500","","","","","67.70.211.10","500","","","","","udp","","","","","","","","","","","","","","TorontoToQC100","","","","NA","","SENDING>>>> ISAKMP OAK QM (InitCookie:0x4145bda1962547f8 RespCookie:0x972658cd054c6229, MsgID: 0x6A74D453) *(HASH, SA, NON, KE, ID, ID)"
"10/18/2018 21:23:31","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","67.70.211.10","500","","","","","206.47.202.130","500","","","","","udp","","","","","","","","","","","","","","TorontoToQC100","","","","NA","","RECEIVED<<< ISAKMP OAK INFO (InitCookie:0x4145bda1962547f8 RespCookie:0x972658cd054c6229, MsgID: 0xE5C2A3F6) *(HASH, NOTIFY: INVALID_ID_INFO)"
"10/18/2018 21:23:39","1480","Network","DNS","DNS Resolve Success","Simple Note String","Information","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NA","success in DNS resolve ldsec.dnsdojo.com","Success in DNS resolve"
"10/18/2018 21:23:39","1197","Network","NAT","Connection NAT Mapping","Standard Note String","Notice","","","","","","","","","","","","","","","","","","","","","","","","","","74","","","Unknown","","","","","","","","","","","NA","Source: 206.47.202.130, 12048, Destination: 67.69.184.199, 53, Protocol: 17-[Some details are no longer available]","NAT Mapping"
"10/18/2018 21:23:40","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xb2b6f057d0c637c0 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:23:40","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:23:40","1430","Network","IP","IPv6 Packet with Ext Header","Standard Note Protocol","Information","34525","00:21:9B:74:29:D3","DELL","X0","","33:33:00:00:00:16","Unknown","","","fe80::9192:c5cc:d958:ee00","","","","","","ff02::16","","","","","","0","","","76","","","","","","","","","","","","","","","NA","Extention header: 0","IPv6 Packet with extension header received"
"10/18/2018 21:23:40","1254","Network","ICMP","LAN ICMPv6 Deny","Standard ICMP Service","Notice","34525","00:21:9B:74:29:D3","DELL","X0","LAN","33:33:00:00:00:16","Unknown","X0","MULTICAST","fe80::9192:c5cc:d958:ee00","","","","","","ff02::16","","","","","","ipv6-icmp","143","0","76","","","","","","","","","","","","","","Service Version 2 Multicast Listener Re","drop","packet did not match policy on Zones(LAN -> MULTICAST)","ICMPv6 packet from LAN dropped"
"10/18/2018 21:23:49","1233","Firewall Settings","Multicast","Link-Local/Multicast IPv6 Packet","Standard Note Protocol","Notice","34525","00:1E:4F:E4:34:9D","DELL","X0","LAN","33:33:00:01:00:03","Unknown","","","fe80::e849:48bf:8f56:d2ce","60130","","","","","ff02::1:3","5355","","","","","udp","","","72","","","","","","","","","","","","","","","drop","","Unhandled link-local or multicast IPv6 packet dropped"
"10/18/2018 21:23:50","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xb2b6f057d0c637c0 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:23:50","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
"10/18/2018 21:23:54","46","Network","Network Access","Broadcast Packets Dropped","Standard Note Protocol","Debug","2048","00:0A:F7:8F:48:B0","BROADCOM","X0:V10","LAN","FF:FF:FF:FF:FF:FF","Unknown","","","192.168.10.2","5665","","","","","192.168.10.255","50799","","","","","udp","","","188","","","","","","","","","","","","","","","drop","","Broadcast packet dropped"
"10/18/2018 21:23:58","602","Network","DNS","DNS Allow","Standard Policy","Information","2048","F4:CC:55:C9:CE:C3","JUNIPER NETWORKS","X1","WAN","C0:EA:E4:6A:DC:91","SONICWALL","X1","WAN","67.69.184.7","53","mtrlpq02dnsvp1.srvr.bell.ca","","","","206.47.202.130","53918","","","","","udp","","","148","","","","","","","","","","","","","","General DNS","forward","","DNS packet allowed"
"10/18/2018 21:23:59","174","Network","UDP","LAN UDP Deny","Standard Service","Notice","2048","E8:39:35:49:37:91","HEWLETT PACKARD","X0","LAN","C0:EA:E4:6A:DC:90","SONICWALL","X0","LAN","192.168.1.15","137","","","","","192.168.1.254","137","","","","","udp","","","203","","","","","","","","","","","","","","General NETBIOS","drop","packet did not match policy on Zones(LAN -> LAN)","UDP packet from LAN dropped"
"10/18/2018 21:24:00","171","VPN","VPN IKE","IPsec Dead Peer Detection","Standard Message String","Debug","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","Two24CCA","","","","NA","","SENDING>>>> ISAKMP OAK IKE_SA_INIT (InitCookie:0xb2b6f057d0c637c0 RespCookie:0x0000000000000000, MsgID: 0x0)  (SA, KE, NONCE, NOTIFY: NATD Source IP, NOTIFY: NATD Destination IP, VID)"
"10/18/2018 21:24:00","972","VPN","VPN IKEv2","Initiator: Retransmit IKEv2 Request Due to Remote Party Timeout","Standard Note String","Information","","","","","","","","","","192.168.10.254","500","","","","","70.55.223.251","500","ipagstaticip-4be14d25-929c-a0d7-e38e-4546151c559d.sdsl.bell.ca","","","","udp","","","","","","","","","","","","","","","","","","NA","VPN Policy: Two24CCA; ","IKEv2 Initiator: Remote party Timeout - Retransmitting IKEv2 Request."
